id,area,name,depends_on,collab_depends_match,handlers,scope_count
artifact-generator,craft-workshop,产物生成员工,employee-planner,True,"llm_md,echo",3
change-request-auditor,platform-core,变更评审员,"test-qa-runner,employee-pack-quality-interviewer,security-secrets-guard",True,"llm_md,echo,agent",5
code-validator,craft-workshop,代码校验员工,sandbox-tester,True,"llm_md,echo",2
daily-orchestrator,platform-core,每日编排员,"test-qa-runner,dbops-engineer",True,agent,4
dbops-engineer,server-and-ops,数据库运维工程师,"test-qa-runner,security-secrets-guard",True,"llm_md,echo,agent",9
delivery-receipt-officer,platform-core,交付签收员,"test-qa-runner,change-request-auditor",True,"llm_md,echo",3
deploy-release-officer,server-and-ops,发布部署主管,"nginx-config-engineer,security-secrets-guard",True,"llm_md,echo,shell_exec,ssh_exec",23
doc-knowledge-curator,quality-and-docs,文档知识管理员,"mods-and-eskill-curator,vibe-coding-maintainer,employee-pack-curator",True,"doc_sync,llm_md",19
ecosystem-delivery-reporter,partner-ecosystem,生态交付回传员,"enterprise-adoption-officer,deploy-release-officer",True,"llm_md,echo",3
ecosystem-investor-portal-officer,partner-ecosystem,投资方只读门户员,"market-frontend-dev,ecosystem-delivery-reporter",True,"llm_md,echo",3
ecosystem-joint-catalog-officer,partner-ecosystem,联合 Catalog 策展员,"employee-pack-curator,modstore-backend-api",True,"llm_md,echo",3
ecosystem-partner-onboard-officer,partner-ecosystem,生态伙伴接入员,modstore-backend-api,True,"llm_md,echo",3
ecosystem-revenue-share-reconciler,partner-ecosystem,生态分润对账员,"payment-billing-reconciler,java-payment-bridge-officer",True,"llm_md,echo",3
employee-interview-assistant,quality-and-docs,员工信息访谈员,"doc-knowledge-curator,employee-pack-curator",True,"llm_md,echo",5
employee-pack-curator,modstore-backend,员工包策展员,"mods-and-eskill-curator,vibe-coding-maintainer",True,"llm_md,echo",26
employee-pack-quality-interviewer,quality-and-docs,员工包质询员,"employee-interview-assistant,employee-pack-curator",True,"llm_md,echo",3
employee-planner,craft-workshop,规划设计员工,intent-analyst,True,"llm_md,echo",2
enterprise-adoption-officer,platform-core,企业使用跟踪员,user-customer-service-officer,True,"llm_md,echo",3
fhd-core-maintainer,platform-core,FHD 核心应用维护员,test-qa-runner,True,"llm_md,echo",8
flask-entry-keeper,site-and-marketing,Flask 入口维护员,nginx-config-engineer,True,"llm_md,echo",6
hex-quality-assessor,craft-workshop,六维质检员工,quality-validator,True,"llm_md,echo",4
host-checker,craft-workshop,运维员工,self-checker,True,"llm_md,echo",2
intake-dispatcher,platform-core,需求接入员,"doc-knowledge-curator,task-router-officer",True,"llm_md,echo,agent",7
